normalizedLeafId	r13ResponseDiscriminant	requiredProofOrReceipt	r13EventSequence	lifecycleResultKind	exit	failClosedResultKind
N027.ae-claimed.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted,SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
N027.ae-none.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted,SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
N027.ae-none.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted,SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
N027.ae-optional.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted,SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
N027.ae-optional.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted,SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
N027.ae-required.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted,SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
N027.ae-required.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted,SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
N028.ae-claimed	session-rebind.failure	none	SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
N028.ae-none	session-rebind.failure	none	SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
N028.ae-optional	session-rebind.failure	none	SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
N028.ae-required	session-rebind.failure	none	SlotHealthObserved	download.provider_blocked	70	download.content_unavailable
N029.ae-claimed.answer-absent	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N029.ae-claimed.answer-present	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N029.ae-none.answer-absent	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N029.ae-none.answer-present	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N029.ae-optional.answer-absent	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N029.ae-optional.answer-present	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N029.ae-required.answer-absent	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N029.ae-required.answer-present	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N030.ae-claimed.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.content_unavailable	70	download.content_unavailable
N030.ae-claimed.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.content_unavailable	70	download.content_unavailable
N030.ae-none.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.content_unavailable	70	download.content_unavailable
N030.ae-none.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.content_unavailable	70	download.content_unavailable
N030.ae-optional.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.content_unavailable	70	download.content_unavailable
N030.ae-optional.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.content_unavailable	70	download.content_unavailable
N030.ae-required.artifact-empty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.content_unavailable	70	download.content_unavailable
N030.ae-required.artifact-nonempty	session-rebind.failure	none	ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	download.content_unavailable	70	download.content_unavailable
N031.ae-claimed	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N031.ae-none	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N031.ae-optional	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N031.ae-required	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N032.ae-claimed	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N032.ae-none	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N032.ae-optional	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N032.ae-required	session-rebind.failure	none	ArtifactRecoveryCandidateObserved	download.content_unavailable	70	download.content_unavailable
N033.ae-claimed	session-rebind.failure	none	SessionOperationFailed	download.content_unavailable	70	download.content_unavailable
N033.ae-none	session-rebind.failure	none	SessionOperationFailed	download.content_unavailable	70	download.content_unavailable
N033.ae-optional	session-rebind.failure	none	SessionOperationFailed	download.content_unavailable	70	download.content_unavailable
N033.ae-required	session-rebind.failure	none	SessionOperationFailed	download.content_unavailable	70	download.content_unavailable
N034.ae-claimed	session-rebind.failure	none	SessionOperationFailed	download.url_rejected	70	download.content_unavailable
N034.ae-none	session-rebind.failure	none	SessionOperationFailed	download.url_rejected	70	download.content_unavailable
N034.ae-optional	session-rebind.failure	none	SessionOperationFailed	download.url_rejected	70	download.content_unavailable
N034.ae-required	session-rebind.failure	none	SessionOperationFailed	download.url_rejected	70	download.content_unavailable
N035.ae-claimed	session-rebind.failure	none	-	download.provider_blocked	70	download.content_unavailable
N035.ae-none	session-rebind.failure	none	-	download.provider_blocked	70	download.content_unavailable
N035.ae-optional	session-rebind.failure	none	-	download.provider_blocked	70	download.content_unavailable
N035.ae-required	session-rebind.failure	none	-	download.provider_blocked	70	download.content_unavailable
N036.ae-claimed	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N036.ae-none	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N036.ae-optional	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N036.ae-required	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N037.ae-claimed	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N037.ae-none	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N037.ae-optional	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N037.ae-required	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N038.ae-claimed	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N038.ae-none	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N038.ae-optional	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N038.ae-required	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N039.ae-claimed	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N039.ae-none	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N039.ae-optional	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N039.ae-required	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N040.ae-claimed	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N040.ae-none	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N040.ae-optional	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N040.ae-required	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N041.ae-claimed	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N041.ae-none	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N041.ae-optional	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N041.ae-required	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N042.ae-claimed	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N042.ae-none	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N042.ae-optional	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N042.ae-required	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N043.ae-claimed	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N043.ae-none	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N043.ae-optional	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N043.ae-required	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N044.ae-claimed	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N044.ae-none	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N044.ae-optional	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N044.ae-required	session-rebind.failure	none	-	download.content_unavailable	70	download.content_unavailable
N045.ae-claimed	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsAbsent,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N045.ae-optional	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsAbsent,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N045.ae-required	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsAbsent,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N046.ae-claimed.artifact-empty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N046.ae-claimed.artifact-nonempty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N046.ae-none.artifact-empty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N046.ae-none.artifact-nonempty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N046.ae-optional.artifact-empty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N046.ae-optional.artifact-nonempty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N046.ae-required.artifact-empty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N046.ae-required.artifact-nonempty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N047.ae-claimed.artifact-empty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N047.ae-claimed.artifact-nonempty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N047.ae-none.artifact-empty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N047.ae-none.artifact-nonempty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N047.ae-optional.artifact-empty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N047.ae-optional.artifact-nonempty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N047.ae-required.artifact-empty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N047.ae-required.artifact-nonempty	poll.failure	none	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactClaimFailed,TerminalPersisted	run.artifact_required_failed	70	run.poll_failed
N048.ae-claimed.artifact-nonempty	poll.success	poll_receipt	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactDownloadCompleted,ArtifactClaimCompleted,TerminalPersisted	run.terminal_success	0	run.poll_failed
N048.ae-none.artifact-nonempty	poll.success	poll_receipt	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactDownloadCompleted,ArtifactClaimCompleted,TerminalPersisted	run.terminal_success	0	run.poll_failed
N048.ae-none.artifact-zero	poll.success	poll_receipt	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsAbsent,ArtifactClaimCompleted,TerminalPersisted	run.terminal_success	0	run.poll_failed
N048.ae-optional.artifact-nonempty	poll.success	poll_receipt	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactDownloadCompleted,ArtifactClaimCompleted,TerminalPersisted	run.terminal_success	0	run.poll_failed
N048.ae-optional.artifact-zero	poll.success	poll_receipt	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsAbsent,ArtifactClaimCompleted,TerminalPersisted	run.terminal_success	0	run.poll_failed
N048.ae-required.artifact-nonempty	poll.success	poll_receipt	AnswerTerminal,ArtifactClaimEstablished,ArtifactControlsDiscovered,ArtifactDownloadAttemptConsumed,ArtifactDownloadCompleted,ArtifactClaimCompleted,TerminalPersisted	run.terminal_success	0	run.poll_failed
N049.ae-claimed	poll.failure	none	PollFailed,SlotHealthObserved	run.poll_failed	70	run.poll_failed
N049.ae-none	poll.failure	none	PollFailed,SlotHealthObserved	run.poll_failed	70	run.poll_failed
N049.ae-optional	poll.failure	none	PollFailed,SlotHealthObserved	run.poll_failed	70	run.poll_failed
N049.ae-required	poll.failure	none	PollFailed,SlotHealthObserved	run.poll_failed	70	run.poll_failed
N050.ae-claimed	poll.success	poll_receipt	PollProgress	run.running	0	run.poll_failed
N050.ae-none	poll.success	poll_receipt	PollProgress	run.running	0	run.poll_failed
N050.ae-optional	poll.success	poll_receipt	PollProgress	run.running	0	run.poll_failed
N050.ae-required	poll.success	poll_receipt	PollProgress	run.running	0	run.poll_failed
N051.ae-claimed	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N051.ae-none	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N051.ae-optional	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N051.ae-required	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N052.ae-claimed	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N052.ae-none	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N052.ae-optional	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N052.ae-required	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N053.ae-claimed	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N053.ae-none	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N053.ae-optional	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N053.ae-required	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N054.ae-claimed	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N054.ae-none	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N054.ae-optional	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N054.ae-required	poll.failure	none	PollFailed	run.poll_failed	70	run.poll_failed
N055.ae-claimed	poll.success	poll_receipt	PollProgress	run.running	0	run.poll_failed
N055.ae-none	poll.success	poll_receipt	PollProgress	run.running	0	run.poll_failed
N055.ae-optional	poll.success	poll_receipt	PollProgress	run.running	0	run.poll_failed
N055.ae-required	poll.success	poll_receipt	PollProgress	run.running	0	run.poll_failed
N056.ae-claimed	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N056.ae-none	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N056.ae-optional	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N056.ae-required	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N057.ae-claimed.answer-absent	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N057.ae-claimed.answer-present	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N057.ae-none.answer-absent	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N057.ae-none.answer-present	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N057.ae-optional.answer-absent	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N057.ae-optional.answer-present	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N057.ae-required.answer-absent	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N057.ae-required.answer-present	poll.success	none	PollProgress	run.poll_failed	70	run.poll_failed
N058.ae-claimed	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N058.ae-none	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N058.ae-optional	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N058.ae-required	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N059.ae-claimed	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N059.ae-none	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N059.ae-optional	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N059.ae-required	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N060.ae-claimed	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N060.ae-none	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N060.ae-optional	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N060.ae-required	poll.failure	none	-	run.poll_failed	70	run.poll_failed
N061.ae-claimed	poll.failure	none	-	run.poll_failed	70	run.poll_failed
