current_ordinal	current_operation	current_process_outcome	current_provider_status	current_result_variant	normalized_leaf_id	request_artifact_expectation	session_field_state	url_observation_kind	url_session_relation	answer_field_state	raw_artifact_field_state	artifact_claim_result	send_predecessor_kind	prior_receipt_ids	prior_event_ids	provider_reason	provider_exit	payload_leaf	lifecycle_result_kind	lifecycle_reason	ok	lifecycle_status	lifecycle_exit	retryable	retry_owner	retry_delay_ms	retry_budget	receipt_count	receipt_sequence	persistence_event_sequence	side_effect	fixture_id	command_id	cwd	expected_provider_rc	expected_lifecycle_rc	state_oracle	receipt_oracle_sequence	side_effect_oracle
11	capture.root	invocation_error	not_applicable	invocation_timeout	N011.base	none	request_forbidden_provider_payload_absent	none	none	none	none	none	none	none	none	provider.timeout	none	payload.N011.base	terminal.invocation_failure	provider.timeout	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N011.base	cmd.N011.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
12	capture.session	exit_0	capture_failed	capture_failed	N012.base	none	present_nonempty_request_echo	diagnostic_url	unvalidated	absent	artifacts_absent	none	none	none	none	none	0	payload.N012.base	terminal.capture_failure	none	false	capture_failed	0	false	none	0	0	1	receipt.capture.session	none	capture.evidence.persist	legal.N012.base	cmd.N012.base	stacks/gpt-webai-slot-pool	0	0	state.unchanged	oracle.receipt.capture.session.valid	capture.evidence.digest.valid
13	capture.session	exit_0	captured	captured	N013.base	none	present_nonempty_request_echo	diagnostic_url	unvalidated	absent	artifacts_absent	none	none	none	none	none	0	payload.N013.base	terminal.capture_success	none	true	captured	0	false	none	0	0	1	receipt.capture.session	none	capture.evidence.persist	legal.N013.base	cmd.N013.base	stacks/gpt-webai-slot-pool	0	0	state.unchanged	oracle.receipt.capture.session.valid	capture.evidence.digest.valid
14	capture.session	invocation_error	not_applicable	invocation_contract_invalid_artifact	N014.base	none	request_present_provider_payload_absent	none	none	none	none	none	none	none	none	provider.contract.invalid_artifact	none	payload.N014.base	terminal.invocation_failure	provider.contract.invalid_artifact	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N014.base	cmd.N014.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
15	capture.session	invocation_error	not_applicable	invocation_contract_invalid_field	N015.base	none	request_present_provider_payload_absent	none	none	none	none	none	none	none	none	provider.contract.invalid_field	none	payload.N015.base	terminal.invocation_failure	provider.contract.invalid_field	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N015.base	cmd.N015.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
16	capture.session	invocation_error	not_applicable	invocation_contract_not_object	N016.base	none	request_present_provider_payload_absent	none	none	none	none	none	none	none	none	provider.contract.not_object	none	payload.N016.base	terminal.invocation_failure	provider.contract.not_object	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N016.base	cmd.N016.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
17	capture.session	invocation_error	not_applicable	invocation_contract_unknown_status	N017.base	none	request_present_provider_payload_absent	none	none	none	none	none	none	none	none	provider.contract.unknown_status	none	payload.N017.base	terminal.invocation_failure	provider.contract.unknown_status	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N017.base	cmd.N017.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
18	capture.session	invocation_error	not_applicable	invocation_invalid_json	N018.base	none	request_present_provider_payload_absent	none	none	none	none	none	none	none	none	provider.invalid_json	none	payload.N018.base	terminal.invocation_failure	provider.invalid_json	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N018.base	cmd.N018.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
19	capture.session	invocation_error	not_applicable	invocation_io_error	N019.base	none	request_present_provider_payload_absent	none	none	none	none	none	none	none	none	provider.io_error	none	payload.N019.base	terminal.invocation_failure	provider.io_error	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N019.base	cmd.N019.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
20	capture.session	invocation_error	not_applicable	invocation_stderr_too_large	N020.base	none	request_present_provider_payload_absent	none	none	none	none	none	none	none	none	provider.stderr_too_large	none	payload.N020.base	terminal.invocation_failure	provider.stderr_too_large	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N020.base	cmd.N020.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
21	capture.session	invocation_error	not_applicable	invocation_stdout_too_large	N021.base	none	request_present_provider_payload_absent	none	none	none	none	none	none	none	none	provider.stdout_too_large	none	payload.N021.base	terminal.invocation_failure	provider.stdout_too_large	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N021.base	cmd.N021.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
22	capture.session	invocation_error	not_applicable	invocation_timeout	N022.base	none	request_present_provider_payload_absent	none	none	none	none	none	none	none	none	provider.timeout	none	payload.N022.base	terminal.invocation_failure	provider.timeout	false	failed	70	false	none	0	0	1	receipt.failure.invocation	none	diagnostic.persist	legal.N022.base	cmd.N022.base	stacks/gpt-webai-slot-pool	none	70	state.unchanged	oracle.receipt.failure.invocation.valid	diagnostic.digest.valid
23	download	exit_0	artifact.controls_absent	artifact_controls_absent	N023.ae-claimed	ae.claimed	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.claimed_artifacts_present_empty	claim_failed_controls_absent	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.controls_absent	0	payload.N023.ae-claimed	terminal.download_artifact_failure	artifact.controls_absent	false	artifact.controls_absent	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsAbsentR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N023.ae-claimed	cmd.N023.ae-claimed	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
23	download	exit_0	artifact.controls_absent	artifact_controls_absent	N023.ae-optional	ae.optional	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.optional_artifacts_present_empty	claim_failed_controls_absent	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.controls_absent	0	payload.N023.ae-optional	terminal.download_artifact_failure	artifact.controls_absent	false	artifact.controls_absent	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsAbsentR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N023.ae-optional	cmd.N023.ae-optional	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
23	download	exit_0	artifact.controls_absent	artifact_controls_absent	N023.ae-required	ae.required	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.required_artifacts_present_empty	claim_failed_controls_absent	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.controls_absent	0	payload.N023.ae-required	terminal.download_artifact_failure	artifact.controls_absent	false	artifact.controls_absent	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsAbsentR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N023.ae-required	cmd.N023.ae-required	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
24	download	exit_0	artifact.download_timeout	artifact_download_timeout	N024.ae-claimed.artifact-empty	ae.claimed	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.claimed_artifacts_present_empty	claim_failed_download_timeout	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.download_timeout	0	payload.N024.ae-claimed.artifact-empty	terminal.download_artifact_failure	artifact.download_timeout	false	artifact.download_timeout	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N024.ae-claimed.artifact-empty	cmd.N024.ae-claimed.artifact-empty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
24	download	exit_0	artifact.download_timeout	artifact_download_timeout	N024.ae-claimed.artifact-nonempty	ae.claimed	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.claimed_artifacts_present_nonempty_diagnostic	claim_failed_download_timeout	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.download_timeout	0	payload.N024.ae-claimed.artifact-nonempty	terminal.download_artifact_failure	artifact.download_timeout	false	artifact.download_timeout	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N024.ae-claimed.artifact-nonempty	cmd.N024.ae-claimed.artifact-nonempty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
24	download	exit_0	artifact.download_timeout	artifact_download_timeout	N024.ae-none.artifact-empty	ae.none	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.none_artifacts_present_empty	claim_failed_download_timeout	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.download_timeout	0	payload.N024.ae-none.artifact-empty	terminal.download_artifact_failure	artifact.download_timeout	false	artifact.download_timeout	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N024.ae-none.artifact-empty	cmd.N024.ae-none.artifact-empty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
24	download	exit_0	artifact.download_timeout	artifact_download_timeout	N024.ae-none.artifact-nonempty	ae.none	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.none_artifacts_present_nonempty_diagnostic	claim_failed_download_timeout	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.download_timeout	0	payload.N024.ae-none.artifact-nonempty	terminal.download_artifact_failure	artifact.download_timeout	false	artifact.download_timeout	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N024.ae-none.artifact-nonempty	cmd.N024.ae-none.artifact-nonempty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
24	download	exit_0	artifact.download_timeout	artifact_download_timeout	N024.ae-optional.artifact-empty	ae.optional	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.optional_artifacts_present_empty	claim_failed_download_timeout	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.download_timeout	0	payload.N024.ae-optional.artifact-empty	terminal.download_artifact_failure	artifact.download_timeout	false	artifact.download_timeout	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N024.ae-optional.artifact-empty	cmd.N024.ae-optional.artifact-empty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
24	download	exit_0	artifact.download_timeout	artifact_download_timeout	N024.ae-optional.artifact-nonempty	ae.optional	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.optional_artifacts_present_nonempty_diagnostic	claim_failed_download_timeout	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.download_timeout	0	payload.N024.ae-optional.artifact-nonempty	terminal.download_artifact_failure	artifact.download_timeout	false	artifact.download_timeout	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N024.ae-optional.artifact-nonempty	cmd.N024.ae-optional.artifact-nonempty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
24	download	exit_0	artifact.download_timeout	artifact_download_timeout	N024.ae-required.artifact-empty	ae.required	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.required_artifacts_present_empty	claim_failed_download_timeout	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.download_timeout	0	payload.N024.ae-required.artifact-empty	terminal.download_artifact_failure	artifact.download_timeout	false	artifact.download_timeout	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N024.ae-required.artifact-empty	cmd.N024.ae-required.artifact-empty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
24	download	exit_0	artifact.download_timeout	artifact_download_timeout	N024.ae-required.artifact-nonempty	ae.required	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.required_artifacts_present_nonempty_diagnostic	claim_failed_download_timeout	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.download_timeout	0	payload.N024.ae-required.artifact-nonempty	terminal.download_artifact_failure	artifact.download_timeout	false	artifact.download_timeout	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N024.ae-required.artifact-nonempty	cmd.N024.ae-required.artifact-nonempty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
25	download	exit_0	artifact.recovery_failed	artifact_recovery_failed	N025.ae-claimed.artifact-empty	ae.claimed	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.claimed_artifacts_present_empty	claim_failed_recovery	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.recovery_failed	0	payload.N025.ae-claimed.artifact-empty	terminal.download_artifact_failure	artifact.recovery_failed	false	artifact.recovery_failed	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N025.ae-claimed.artifact-empty	cmd.N025.ae-claimed.artifact-empty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
25	download	exit_0	artifact.recovery_failed	artifact_recovery_failed	N025.ae-claimed.artifact-nonempty	ae.claimed	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.claimed_artifacts_present_nonempty_diagnostic	claim_failed_recovery	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.recovery_failed	0	payload.N025.ae-claimed.artifact-nonempty	terminal.download_artifact_failure	artifact.recovery_failed	false	artifact.recovery_failed	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N025.ae-claimed.artifact-nonempty	cmd.N025.ae-claimed.artifact-nonempty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
25	download	exit_0	artifact.recovery_failed	artifact_recovery_failed	N025.ae-none.artifact-empty	ae.none	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.none_artifacts_present_empty	claim_failed_recovery	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.recovery_failed	0	payload.N025.ae-none.artifact-empty	terminal.download_artifact_failure	artifact.recovery_failed	false	artifact.recovery_failed	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N025.ae-none.artifact-empty	cmd.N025.ae-none.artifact-empty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
25	download	exit_0	artifact.recovery_failed	artifact_recovery_failed	N025.ae-none.artifact-nonempty	ae.none	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.none_artifacts_present_nonempty_diagnostic	claim_failed_recovery	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.recovery_failed	0	payload.N025.ae-none.artifact-nonempty	terminal.download_artifact_failure	artifact.recovery_failed	false	artifact.recovery_failed	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N025.ae-none.artifact-nonempty	cmd.N025.ae-none.artifact-nonempty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
25	download	exit_0	artifact.recovery_failed	artifact_recovery_failed	N025.ae-optional.artifact-empty	ae.optional	present_nonempty_validated	conversation_url	same_session	absent	artifactExpectation_present_ae.optional_artifacts_present_empty	claim_failed_recovery	none	receipt.prior.answer_terminal	event.prior.AnswerTerminal	artifact.recovery_failed	0	payload.N025.ae-optional.artifact-empty	terminal.download_artifact_failure	artifact.recovery_failed	false	artifact.recovery_failed	0	false	none	0	0	2	receipt.prior.answer_terminal,receipt.failure.provider	event.prior.AnswerTerminal,event.ProviderArtifactClaimEstablishedR12,event.ProviderArtifactControlsDiscoveredR12,event.ProviderArtifactDownloadAttemptConsumedR12,event.ProviderArtifactClaimFailedR12,event.ProviderTerminalPersistedR12	artifact.claim.failure.persist	legal.N025.ae-optional.artifact-empty	cmd.N025.ae-optional.artifact-empty	stacks/gpt-webai-slot-pool	0	0	state.session.artifact_claim_failed	oracle.receipt.prior.answer_terminal.valid,oracle.receipt.failure.provider.valid	artifact.failure.no_canonical_artifact.valid
