operation	process_outcome	provider_status	result_variant	reason_domain	provider_exit	session_id	answer_text	artifacts	required_lifecycle_status	source_predicate
poll	invocation_error	not_applicable	invocation_io_error	provider.io_error	null	required	null	null	failed	ProviderInvocationError::Io
poll	invocation_error	not_applicable	invocation_stderr_too_large	provider.stderr_too_large	null	required	null	null	failed	ProviderInvocationError::StderrTooLarge
poll	invocation_error	not_applicable	invocation_stdout_too_large	provider.stdout_too_large	null	required	null	null	failed	ProviderInvocationError::StdoutTooLarge
poll	invocation_error	not_applicable	invocation_timeout	provider.timeout	null	required	null	null	failed	ProviderInvocationError::Timeout
send	exit_0	attachment_unavailable	attachment_unavailable	provider.attachment_unavailable	0	null	null	null	attachment_unavailable	one or more requested attachment chips never become complete
send	exit_0	login_required	readiness_login_required	auth.needs_login	0	null	null	null	login_required	fresh page login or challenge visible
send	exit_0	model.selection_mismatch	model_control_unverified	model.selection_unverified	0	null	null	null	model.selection_mismatch	bounded picker flow cannot identify selected control
send	exit_0	model.selection_mismatch	model_selection_mismatch	model.selection_mismatch	0	null	null	null	model.selection_mismatch	bounded picker selection does not reverify requested model
send	exit_0	provider_limit	readiness_provider_limit	provider.limit	0	null	null	null	provider_limit	fresh page blocking provider-limit surface visible
send	exit_0	sent	sent	null	0	required	null	null	sent	non-root session id and new-turn evidence both confirmed
send	exit_0	session.start_unconfirmed	session_start_unconfirmed	session.start_unconfirmed	0	null	null	null	session.start_unconfirmed	new turn lacks non-root conversation session id
send	exit_0	subscription_required	model_subscription_required	auth.needs_pro	0	null	null	null	subscription_required	model picker proves Pro unavailable behind upgrade
send	exit_0	subscription_required	readiness_subscription_required	auth.needs_pro	0	null	null	null	subscription_required	fresh page subscription gate visible
send	exit_2	provider.schema_drift	missing_prompt	provider.schema_drift	2	null	null	null	provider.schema_drift	prompt absent before browser operation
send	exit_70	unreachable	readiness_unreachable	provider.schema_drift	70	null	null	null	unreachable	readiness is neither ready nor a closed blocking state
send	invocation_error	not_applicable	invocation_contract_invalid_artifact	provider.contract.invalid_artifact	null	null	null	null	failed	ProviderContractError::InvalidArtifactObject
send	invocation_error	not_applicable	invocation_contract_invalid_field	provider.contract.invalid_field	null	null	null	null	failed	ProviderContractError::InvalidField
send	invocation_error	not_applicable	invocation_contract_not_object	provider.contract.not_object	null	null	null	null	failed	ProviderContractError::NotObject
send	invocation_error	not_applicable	invocation_contract_unknown_status	provider.contract.unknown_status	null	null	null	null	failed	ProviderContractError::UnknownStatus
send	invocation_error	not_applicable	invocation_invalid_json	provider.invalid_json	null	null	null	null	failed	ProviderInvocationError::Json
send	invocation_error	not_applicable	invocation_io_error	provider.io_error	null	null	null	null	failed	ProviderInvocationError::Io
send	invocation_error	not_applicable	invocation_stderr_too_large	provider.stderr_too_large	null	null	null	null	failed	ProviderInvocationError::StderrTooLarge
send	invocation_error	not_applicable	invocation_stdout_too_large	provider.stdout_too_large	null	null	null	null	failed	ProviderInvocationError::StdoutTooLarge
send	invocation_error	not_applicable	invocation_timeout	provider.timeout	null	null	null	null	failed	ProviderInvocationError::Timeout
session.resume	exit_0	artifact.controls_absent	artifact_controls_absent	artifact.controls_absent	0	required	required	empty	artifact.controls_absent	answer claims an artifact but no visible control exists
session.resume	exit_0	artifact.download_timeout	artifact_download_timeout	artifact.download_timeout	0	required	required	optional	artifact.download_timeout	artifact recovery sees an incomplete download candidate or warning
session.resume	exit_0	artifact.recovery_failed	artifact_recovery_failed	artifact.recovery_failed	0	required	required	optional	artifact.recovery_failed	artifact recovery provider invocation or persistence fails
session.resume	exit_0	done	done	null	0	required	required	array	done	stable final visible answer and optional artifact recovery complete
session.resume	exit_0	provider_limit	terminal_provider_limit	provider.limit	0	required	optional	optional	provider_limit	resume terminal candidate coexists with blocking limit surface
session.resume	exit_0	resumed	idle_resumed	null	0	required	null	null	resumed	valid hydrated session has no active or final assistant answer
session.resume	exit_0	running	running	answer.progress_prologue_or_null	0	required	optional	null	running	active turn or progress prologue remains
session.resume	exit_0	session.content_unavailable	content_unavailable	session.content_unavailable	0	required	null	null	session.content_unavailable	conversation does not hydrate within the bounded window
session.resume	exit_0	session.running_unverified	terminal_scroll_unverified	visual_reason_enum	0	required	optional	optional	session.running_unverified	resume terminal candidate or artifact capture lacks strict bottom proof
session.resume	exit_0	session.start_unconfirmed	root_url_unconfirmed	session.start_unconfirmed	0	required	null	null	session.start_unconfirmed	selected page URL is not a non-root conversation URL
session.resume	exit_0	session.start_unconfirmed	session_url_mismatch	session.url_mismatch	0	required	null	null	session.start_unconfirmed	conversation URL session id differs from pinned session
session.resume	exit_2	provider.schema_drift	missing_session	provider.schema_drift	2	null	null	null	provider.schema_drift	resume session argument absent
session.resume	invocation_error	not_applicable	invocation_contract_invalid_artifact	provider.contract.invalid_artifact	null	required	null	null	failed	ProviderContractError::InvalidArtifactObject
session.resume	invocation_error	not_applicable	invocation_contract_invalid_field	provider.contract.invalid_field	null	required	null	null	failed	ProviderContractError::InvalidField
session.resume	invocation_error	not_applicable	invocation_contract_not_object	provider.contract.not_object	null	required	null	null	failed	ProviderContractError::NotObject
session.resume	invocation_error	not_applicable	invocation_contract_unknown_status	provider.contract.unknown_status	null	required	null	null	failed	ProviderContractError::UnknownStatus
session.resume	invocation_error	not_applicable	invocation_invalid_json	provider.invalid_json	null	required	null	null	failed	ProviderInvocationError::Json
session.resume	invocation_error	not_applicable	invocation_io_error	provider.io_error	null	required	null	null	failed	ProviderInvocationError::Io
session.resume	invocation_error	not_applicable	invocation_stderr_too_large	provider.stderr_too_large	null	required	null	null	failed	ProviderInvocationError::StderrTooLarge
session.resume	invocation_error	not_applicable	invocation_stdout_too_large	provider.stdout_too_large	null	required	null	null	failed	ProviderInvocationError::StdoutTooLarge
session.resume	invocation_error	not_applicable	invocation_timeout	provider.timeout	null	required	null	null	failed	ProviderInvocationError::Timeout
session.show	exit_0	done	done	null	0	required	required	null	done	stable final visible assistant answer
session.show	exit_0	provider_limit	terminal_provider_limit	provider.limit	0	required	optional	null	provider_limit	show terminal candidate coexists with blocking limit surface
session.show	exit_0	running	running	answer.progress_prologue_or_null	0	required	optional	null	running	active turn or progress prologue remains
session.show	exit_0	session.content_unavailable	content_unavailable	session.content_unavailable	0	required	null	null	session.content_unavailable	conversation does not hydrate within the bounded window
session.show	exit_0	session.running_unverified	terminal_scroll_unverified	visual_reason_enum	0	required	optional	null	session.running_unverified	show terminal candidate lacks strict bottom proof
session.show	exit_0	session.start_unconfirmed	root_url_unconfirmed	session.start_unconfirmed	0	required	null	null	session.start_unconfirmed	selected page URL is not a non-root conversation URL
session.show	exit_0	session.start_unconfirmed	session_url_mismatch	session.url_mismatch	0	required	null	null	session.start_unconfirmed	conversation URL session id differs from pinned session
session.show	exit_0	show	idle_show	null	0	required	null	null	show	valid hydrated session has no active or final assistant answer
session.show	exit_2	provider.schema_drift	missing_session	provider.schema_drift	2	null	null	null	provider.schema_drift	show session argument absent
session.show	invocation_error	not_applicable	invocation_contract_invalid_artifact	provider.contract.invalid_artifact	null	required	null	null	failed	ProviderContractError::InvalidArtifactObject
session.show	invocation_error	not_applicable	invocation_contract_invalid_field	provider.contract.invalid_field	null	required	null	null	failed	ProviderContractError::InvalidField
session.show	invocation_error	not_applicable	invocation_contract_not_object	provider.contract.not_object	null	required	null	null	failed	ProviderContractError::NotObject
session.show	invocation_error	not_applicable	invocation_contract_unknown_status	provider.contract.unknown_status	null	required	null	null	failed	ProviderContractError::UnknownStatus
session.show	invocation_error	not_applicable	invocation_invalid_json	provider.invalid_json	null	required	null	null	failed	ProviderInvocationError::Json
session.show	invocation_error	not_applicable	invocation_io_error	provider.io_error	null	required	null	null	failed	ProviderInvocationError::Io
session.show	invocation_error	not_applicable	invocation_stderr_too_large	provider.stderr_too_large	null	required	null	null	failed	ProviderInvocationError::StderrTooLarge
session.show	invocation_error	not_applicable	invocation_stdout_too_large	provider.stdout_too_large	null	required	null	null	failed	ProviderInvocationError::StdoutTooLarge
session.show	invocation_error	not_applicable	invocation_timeout	provider.timeout	null	required	null	null	failed	ProviderInvocationError::Timeout
status	exit_0	login_required	login_required	auth.needs_login	0	null	null	null	login_required	login or challenge visible
status	exit_0	provider_limit	provider_limit	provider.limit	0	null	null	null	provider_limit	blocking provider-limit surface visible
status	exit_0	ready	ready	null	0	null	null	null	ready	composer and Pro ready
status	exit_0	subscription_required	subscription_required	auth.needs_pro	0	null	null	null	subscription_required	Pro unavailable or upgrade blocks composer
status	exit_0	unknown	unknown	null	0	null	null	null	unknown	no closed readiness predicate matches
status	invocation_error	not_applicable	invocation_contract_invalid_artifact	provider.contract.invalid_artifact	null	null	null	null	failed	ProviderContractError::InvalidArtifactObject
status	invocation_error	not_applicable	invocation_contract_invalid_field	provider.contract.invalid_field	null	null	null	null	failed	ProviderContractError::InvalidField
status	invocation_error	not_applicable	invocation_contract_not_object	provider.contract.not_object	null	null	null	null	failed	ProviderContractError::NotObject
status	invocation_error	not_applicable	invocation_contract_unknown_status	provider.contract.unknown_status	null	null	null	null	failed	ProviderContractError::UnknownStatus
status	invocation_error	not_applicable	invocation_invalid_json	provider.invalid_json	null	null	null	null	failed	ProviderInvocationError::Json
status	invocation_error	not_applicable	invocation_io_error	provider.io_error	null	null	null	null	failed	ProviderInvocationError::Io
status	invocation_error	not_applicable	invocation_stderr_too_large	provider.stderr_too_large	null	null	null	null	failed	ProviderInvocationError::StderrTooLarge
status	invocation_error	not_applicable	invocation_stdout_too_large	provider.stdout_too_large	null	null	null	null	failed	ProviderInvocationError::StdoutTooLarge
status	invocation_error	not_applicable	invocation_timeout	provider.timeout	null	null	null	null	failed	ProviderInvocationError::Timeout
